Testcase_Number Left_Coin_Pile Right_Coin_Pile Computation_Time Number_of_Coins
888 3,23,8,16,3,4 11,10,3,25,8 0 11
889 0 0 0 11
890 22,7,9,12,13,9 24,23,13,4,8 0 11
891 0 0 1018700 11
892 19,7,16,23,8 2,20,5,15,15,16 0 11
893 2,11,25,10,3,9 13,20,16,5,6 0 11
894 5,21,13,18,16 22,15,9,14,4,9 0 11
895 18,8,20,2,5,19 22,11,18,12,9 0 11
896 0 0 1563500 11
897 0 0 1002900 11
898 19,6,13,17,10,2 15,6,19,7,20 0 11
899 9,13,19,22,5,5 25,8,8,9,23 0 11
900 17,24,13,12,10 14,15,18,2,12,15 0 11
901 25,14,5,15,19,7 6,4,18,17,23,17 0 12
902 24,17,8,12,7,17 23,14,2,20,15,11 0 12
903 5,13,22,25,14,12 8,10,24,22,14,13 0 12
904 0 0 1120700 12
905 0 0 2116500 12
906 0 0 2028200 12
907 4,16,15,16,12,14,8 18,10,22,18,17 0 12
908 0 0 1000400 12
909 13,16,20,9,16,16,13 12,23,23,21,24 0 12
910 15,2,16,5,2,16,9 7,2,13,21,22 0 12
911 0 0 1999400 12
912 24,14,2,13,13 6,17,22,9,4,4,4 0 12
913 0 0 1059500 12
914 0 0 1976300 12
915 10,14,10,6,6,19,9 24,3,24,5,18 0 12
916 0 0 1000000 12
917 6,11,20,12,12,11,12 15,3,25,23,18 999800 12
918 2,8,17,5,15,23 7,8,18,9,23,5 0 12
919 0 0 1000100 12
920 0 0 2000900 12
921 15,8,12,20,9,13,14 17,24,8,18,24 0 12
922 14,13,10,13,17,18,15 23,24,13,17,23 0 12
923 16,12,7,2,13,3,20,14 21,24,21,21 0 12
924 24,13,5,24,9,12 15,8,15,21,18,10 0 12
925 0 0 1001700 12
926 11,3,20,6,2,24,8 19,4,11,16,24 0 12
927 0 0 2683700 12
928 7,24,13,22,7,11 12,8,18,7,24,15 0 12
929 0 0 1341400 12
930 0 0 996900 12
931 3,5,8,8,10,15,7 15,2,13,13,13 0 12
932 22,25,21,7,12,7 17,17,13,3,25,19 1007400 12
933 25,25,14,10,21,2 17,14,19,16,13,18 0 12
934 0 0 999200 12
935 10,2,13,17,4,18,5,4 21,25,11,16 0 12
936 0 0 2001400 12
937 12,24,6,19,20,11,6 15,16,25,18,24 0 12
938 18,10,10,14,17,19 2,21,25,12,3,25 0 12
939 11,19,13,7,12,19,16 18,15,22,24,18 0 12
940 0 0 999000 12
941 0 0 1615900 12
942 0 0 1018400 12
943 0 0 2348200 12
944 21,21,4,15,22,8 25,24,16,9,10,7 0 12
